Country,Network,Price,MCC/MNC
Afghanistan,"Afghan Wireless Communication Company (AWCC)",0.05800,412/01
Afghanistan,"Etisalat Afghanistan (Etisalat)",0.03300,412/50
Afghanistan,"MTN Afghanistan (MTN)",0.07200,412/40
Afghanistan,"Telecom Development Company Afghanistan Ltd. (ROSHAN)",0.06000,412/20
Albania,"Albania - Other",0.0680,
Albania,"Albanian Mobile Communications (A M C  MOBIL)",0.06800,276/01
Albania,"Eagle Mobile sh.a. (Eagle Mobile)",0.05200,276/03
Albania,"PLUS COMMUNICATION (PLUS)",0.05000,276/04
Albania,"Vodafone Albania (Vodafone)",0.06800,276/02
Algeria,"ATM MOBILIS (Mobilis)",0.07000,603/01
Algeria,"Algeria - Other",0.0700,
Algeria,"Orascom Telecom Algerie Spa (Djezzy)",0.07000,603/02
Algeria,"Wataniya Telecom Algerie (Nedjma)",0.07000,603/03
"American Samoa","America Samoa Telecom (ASTCA)",0.05000,
"American Samoa","American Samoa - Other",0.0700,
"American Samoa","American Samoa Licence (BLUESKY)",0.06500,"544/11, 544/110"
Andorra,"Servei De Tele. DAndorra (MOBILAND)",0.01400,213/03
Angola,"Angola - Other",0.0300,
Angola,"Movicel Telecomunicacoes, S.A. (Movicel)",0.02500,631/04
Angola,"UNITEL SA (UNITEL)",0.03000,631/02
Anguilla,"Anguilla - Other",0.0450,
Anguilla,"Cable & Wireless (Anguilla) Ltd. (LIME)",0.02300,"365/840, 365/84"
Anguilla,"Weblinks (Weblinks)",0.03000,"365/010, 365/01, 365/10"
Anguilla,"Wireless Ventures (Anguilla) Ltd (Digicel Anguilla)",0.03600,"365/050, 365/50"
"Antigua & Barbuda","Antigua Public Utilities Authority (APUA) (APUA imobile)",0.03600,344/030
"Antigua & Barbuda","Antigua Wireless Ventures Limited (Digicel Antigua & Barbuda)",0.03600,344/930
"Antigua & Barbuda","Cable & Wireless Antigua and Barbuda Ltd  (LIME)",0.05300,"344/920, 344/92"
Argentina,"AMX Argentina S.A. (Claro Argentina)",0.03500,"722/310, 722/31, 722/320, 722/330"
Argentina,"Argentina - Other",0.0350,
Argentina,"INACTIVE - Hutchison Telecommunications Argentina S.A. (PORT-HABLE)",0.0350,722/35
Argentina,"Nextel Communications (Nextel)",0.03500,"722/020, 722/02"
Argentina,"Telecom Personal SA (Personal)",0.03500,"722/34, 722/341, 722/340"
Argentina,"Telefonica Moviles Argentina S.A (Movistar)",0.03500,"722/07, 722/01"
Armenia,"ArmenTel (ARMGSM)",0.07000,283/01
Armenia,"Armenia - Other",0.0700,
Armenia,"K Telecom CJSC (MTS Armenia)",0.05000,283/05
Armenia,"Karabakh Telecom",0.01300,283/04
Armenia,"Orange Armenia CJSC (Ucom)",0.05300,283/10
Aruba,"Aruba - Other",0.0640,
Aruba,"New Millenium Telecom Services (NMTS) (Digicel)",0.03700,"363/20, 363/00, 363/02"
Aruba,"SETAR (Servicio di Telecomunicacion di Aruba) (SETAR GSM)",0.03300,363/01
Australia,"Australia - Other",0.0400,
Australia,"Singtel Optus Limited (YES OPTUS)",0.04000,"505/02, 505/90"
Australia,"Telstra Corporation Limited (Telstra MobileNet)",0.04000,"505/01, 505/11, 505/71, 505/72, 505/19"
Australia,"Truphone Limited (Truphone)",0.04000,505/99
Australia,"Virgin Mobile (Virgin)",0.04000,505/55
Australia,"Vodafone Pacific Limited (Vodafone)",0.04000,"505/03, 505/07"
Austria,"A1 Telekon Austria AG (A1)",0.06000,"232/01, 232/12, 232/08, 232/09, 232/11"
Austria,"Austria - Other",0.0600,
Austria,"Hutchison 3G Austria GmbH (3 AT )",0.06000,"232/10, 232/05, 232/06, 232/13"
Austria,"MASS Response Service Gmbh (MASS)",0.0600,232/17
Austria,"T-Mobile Austria GmbH (Tele-ring)",0.06000,"232/03, 232/04, 232/07"
Austria,"Vectone Mobile Austria (Mundio)",0.0600,232/15
Azerbaijan,"Azerbaijan - Other",0.0950,
Azerbaijan,"Azercell Telecom LLC (AZERCELL GSM)",0.07500,400/01
Azerbaijan,"Azerfon LLC (Nar Mobile)",0.03200,400/04
Azerbaijan,"Bakcell LLC (BAKCELL LLC)",0.09500,400/02
Azerbaijan,"Catel JV (Catel)",0.06000,400/03
Bahamas,"The Bahamas Telecommunications Company Ltd (BTC)",0.01500,"364/39, 364/390"
Bahrain,"Bahrain - Other",0.0130,
Bahrain,"Bahrain Telecommunications Company (BATELCO)",0.01300,426/01
Bahrain,"VIVA Bahrain B.S.C Closed  (VIVA)",0.01300,426/04
Bahrain,"Zain Bahrain B.S.C (Zain BH)",0.01300,426/02
Bangladesh,"Airtel Bangladesh Limited  (Airtel)",0.05600,470/07
Bangladesh,"Grameenphone Ltd (Grameenphone)",0.05600,470/01
Bangladesh,"Pacific Bangladesh Telecom Limited (CityCell)",0.05600,"470/05, 470/06"
Bangladesh,"Robi Axiata Limited (Robi)",0.05600,470/02
Bangladesh,"Teletalk Bangladesh Ltd",0.05600,470/04
Barbados,"Barbados - Other",0.0460,
Barbados,"Digicel (Barbados) Limited (Digicel)",0.03700,"342/750, 342/050"
Barbados,"INACTIVE - Cable & Wireless Barbados Ltd. (LIME)",0.0460,342/600
Barbados,"INACTIVE - Cellular Communications Barbados (Cingular Wireless)",0.0460,342/810
Barbados,"Sunbeach Communications Inc (Sunbeach Communications Inc)",0.03000,342/820
Belarus,"BelCel JV (BelCel)",0.0650,"257/501, 257/03"
Belarus,"Belarus - Other",0.0650,
Belarus,"Belarusian Telecommunications Network CJCS (Life)",0.01600,"257/25, 257/04"
Belarus,"FE Velcom (VELCOM)",0.06500,257/01
