"Afghanistan","Afghan Wireless Communication Company (AWCC)","0.06200"
"Afghanistan","Etisalat Afghanistan (Etisalat)","0.03500"
"Afghanistan","MTN Afghanistan (MTN)","0.07700"
"Afghanistan","Telecom Development Company Afghanistan Ltd. (ROSHAN)","0.06400"
"Albania","Albanian Mobile Communications (A M C  MOBIL)","0.07200"
"Albania","Eagle Mobile sh.a. (Eagle Mobile)","0.05500"
"Albania","PLUS COMMUNICATION (PLUS)","0.06000"
"Albania","Vodafone Albania (Vodafone)","0.07200"
"Algeria","ATM MOBILIS (Mobilis)","0.08000"
"Algeria","Orascom Telecom Algerie Spa (Djezzy)","0.05900"
"Algeria","Wataniya Telecom Algerie (Nedjma)","0.07400"
"American Samoa","America Samoa Telecom (ASTCA)","0.05300"
"American Samoa","American Samoa Licence (BLUESKY)","0.06900"
"Andorra","Servei De Tele. DAndorra (MOBILAND)","0.01500"
"Angola","Movicel Telecomunicacoes, S.A. (Movicel)","0.02700"
"Angola","UNITEL SA (UNITEL)","0.03200"
"Anguilla","Cable & Wireless (Anguilla) Ltd. (LIME)","0.02400"
"Anguilla","Weblinks (Weblinks)","0.03200"
"Anguilla","Wireless Ventures (Anguilla) Ltd (Digicel Anguilla)","0.03800"
"Antigua & Barbuda","Antigua Public Utilities Authority (APUA) (APUA imobile)","0.03800"
"Antigua & Barbuda","Antigua Wireless Ventures Limited (Digicel Antigua & Barbuda)","0.03800"
"Antigua & Barbuda","Cable & Wireless Antigua and Barbuda Ltd  (LIME)","0.05600"
"Argentina","AMX Argentina S.A. (Claro Argentina)","0.03700"
"Argentina","Nextel Communications (Nextel)","0.03700"
"Argentina","Telecom Personal SA (Personal)","0.03700"
"Argentina","Telefonica Moviles Argentina S.A (Movistar)","0.03700"
"Armenia","ArmenTel (ARMGSM)","0.07400"
"Armenia","K Telecom CJSC (MTS Armenia)","0.05300"
"Armenia","Karabakh Telecom ()","0.01400"
"Armenia","Orange Armenia CJSC (Ucom)","0.05600"
"Aruba","New Millenium Telecom Services (NMTS) (Digicel)","0.03900"
"Aruba","SETAR (Servicio di Telecomunicacion di Aruba) (SETAR GSM)","0.03500"
"Australia","Singtel Optus Limited (YES OPTUS)","0.04300"
"Australia","Telstra Corporation Limited (Telstra MobileNet)","0.04300"
"Australia","Truphone Limited (Truphone)","0.04300"
"Australia","Virgin Mobile (Virgin)","0.04300"
"Australia","Vodafone Pacific Limited (Vodafone)","0.04300"
"Austria","A1 Telekon Austria AG (A1)","0.06400"
"Austria","Hutchison 3G Austria GmbH (3 AT )","0.06400"
"Austria","MASS Response Service Gmbh (MASS)","0.06400"
"Austria","T-Mobile Austria GmbH (Tele-ring)","0.06400"
"Austria","Vectone Mobile Austria (Mundio)","0.06400"
"Azerbaijan","Azercell Telecom LLC (AZERCELL GSM)","0.08000"
"Azerbaijan","Azerfon LLC (Nar Mobile)","0.03400"
"Azerbaijan","Bakcell LLC (BAKCELL LLC)","0.10000"
"Azerbaijan","Catel JV (Catel)","0.06400"
"Bahamas","The Bahamas Telecommunications Company Ltd (BTC)","0.01600"
"Bahrain","Bahrain Telecommunications Company (BATELCO)","0.01400"
"Bahrain","VIVA Bahrain B.S.C Closed  (VIVA)","0.01400"
"Bahrain","Zain Bahrain B.S.C (Zain BH)","0.01400"
"Bangladesh","Airtel Bangladesh Limited  (Airtel)","0.06000"
"Bangladesh","Grameenphone Ltd (Grameenphone)","0.06000"
"Bangladesh","Pacific Bangladesh Telecom Limited (CityCell)","0.06000"
"Bangladesh","Robi Axiata Limited (Robi)","0.06000"
"Bangladesh","Teletalk Bangladesh Ltd ()","0.06000"
"Barbados","Digicel (Barbados) Limited (Digicel)","0.03900"
"Barbados","Sunbeach Communications Inc (Sunbeach Communications Inc)","0.03200"
"Belarus","BelCel JV (BelCel)","0.07000"
"Belarus","Belarusian Telecommunications Network CJCS (Life)","0.01700"
"Belarus","FE Velcom (VELCOM)","0.07000"
"Belarus","JLLC Mobile TeleSystems (MTS)","0.01400"
"Belgium","Belgacom SA/NV (PROXIMUS)","0.09600"
"Belgium","KPN Group Belgium NV/SA (KPN Group Belgium)","0.09600"
"Belgium","Lycamobile (Lycamobile)","0.10000"
"Belgium","Mobistar S.A. (Mobistar)","0.09600"
"Belgium","Mundio Mobile Belgium nv (Mundio)","0.09600"
"Belgium","National Railway Belgium (N.M.B.S.)","0.09600"
"Belgium","Telenet (Telenet )","0.09600"
"Belize","Belize Telemedia Limited (Belize Telecommunications)","0.01400"
"Belize","Speednet (Speednet)","0.01400"
"Benin","Bell Benin Communications (BBCOM)","0.04300"
"Benin","Etisalat Benin SA (Moov Telecel)","0.05300"
"Benin","Glomobile Benin Limited (GloBenin)","0.02700"
"Benin","Office des Postes et Telecommunications du Benin (LIBERCOM)","0.02700"
"Benin","Spacetel-Benin (MTN)","0.04300"
"Bermuda","Bermuda Digital Communications Limited (CELLONE)","0.02100"
"Bermuda","Telecommunications (Bermuda & West Indies) Ltd (Digicel Bermuda)","0.04800"
"Bhutan","B-Mobile (B-Mobile)","0.05100"
"Bhutan","Tashi InfoComm Limited (TashiCell)","0.06400"
"Bolivia","Entel SA (Entel)","0.04300"
"Bolivia","Nuevatel PCS De Bolivia SA (Nuevatel PCS De Bolivia)","0.06900"
"Bosnia Herzegovina","BH Telecom, Joint Stock Company, Sarajevo (BH Mobile)","0.06600"
"Bosnia Herzegovina","Public Enterprise Croatian Telecom Ltd. (ERONET)","0.06100"
"Bosnia Herzegovina","RS Telecommunications  JSC Banja Luka (m:tel)","0.04000"
"Botswana","Botswana Telecommunications Corporation (beMOBILE)","0.02700"
"Botswana","Mascom Wireless (Pty) Limited (MASCOM)","0.06400"
"Botswana","Orange (Botswana) Pty Limited (ORANGE)","0.05700"
"Brazil","Algar Telecom (CTBC Celular)","0.03500"
"Brazil","Amazonia Celular S/A (Amazonia Celular Now TNL Oi)","0.03500"
"Brazil","CLARO S.A (Claro)","0.03500"
"Brazil","Nextel Services De Telecommunication LTD (Nextel)","0.03500"
"Brazil","Oi Grupo (TNL PCS S.A. Oi)","0.03500"
"Brazil","Sercomtel Celular S/A (Sercomtel)","0.03500"
"Brazil","TIM Celular S.A. (TIM BRASIL)","0.03500"
"Brazil","VIVO MG (Telemig)","0.03500"
"Brazil","Vivo S.A. (Vivo)","0.03500"
"British Virgin Islands","Cable and Wireless (BVI) Ltd (LIME)","0.01100"
"British Virgin Islands","Caribbean Cellular Telephone (CCT)","0.01100"
"British Virgin Islands","Digicel BVI Limited (Digicel)","0.03500"
"Brunei Darussalam","B-Mobile Communications Sdn Bhd (b-mobile)","0.01400"
"Brunei Darussalam","DataStream Technology (DTSCom)","0.01400"
"Bulgaria","Bulgarian Telecommunications Company AD  (Vivacom)","0.06800"
"Bulgaria","Cosmo Bulgaria Mobile EAD (GLOBUL)","0.09600"
"Bulgaria","Mobiltel EAD (M-Tel BG)","0.06800"
"Burkina Faso","Airtel Burkina Faso S.A. (Airtel)","0.01400"
"Burkina Faso","ONATEL-S.A (Onatel)","0.01400"
"Burkina Faso","Telecel Faso SA (Telecel Faso)","0.01400"
"Burundi","Lacell SU (Smart Mobile)","0.01100"
"Burundi","U-COM Burundi S.A. (U-COM Econet Burundi)","0.04300"
"Cambodia","CamGSM (MOBITEL)","0.04400"
"Cambodia","Cambodia Advance Communications Co. Ltd (CADCOMMS)","0.01400"
"Cambodia","Camtel AMPS (Camtel)","0.08500"
"Cambodia","Latelz Co., Ltd (Smart Mobile)","0.04500"
"Cambodia","Samart (Samart)","0.04500"
"Cambodia","Sotelco Ltd. (Beeline-KH)","0.01400"
"Cambodia","VIETTEL (CAMBODIA) PTE., LTD (Metfone)","0.03200"
"Cameroon","MTN Cameroon Ltd (MTN Cameroon)","0.04300"
"Cameroon","Orange Cameroun S.A. (Orange)","0.04300"
"Cameroon","Viettel SA (Nexttel Cameroon)","0.05300"
"Canada","Bell Mobility (Bell Mobility)","0.02000"
"Canada","East Link (East Link)","0.02000"
"Canada","Fido Wireless (Fido Wireless)","0.02000"
"Canada","Lynx (Lynx)","0.02000"
"Canada","MTS Mobility (MTS Mobility)","0.02000"
"Canada","Rogers (Rogers)","0.02000"
"Canada","Sasktel (Sasktel)","0.02000"
"Canada","Telus (Telus)","0.02000"
"Canada","VideoTron (VideoTron)","0.02000"
"Canada","Virgin Mobile (Virgin Mobile)","0.02000"
"Canada","Wind CA (Wind CA)","0.02000"
"Cape Verde","CVMovel, S.A. (CVMOVEL)","0.06600"
"Cape Verde","UNITEL T+ TELECOMUNICACÕES S.A. (UNITEL T+ )","0.03200"
"Cayman Islands","Cable & Wireless (Cayman Islands) Ltd (LIME)","0.02200"
"Cayman Islands","Digicel Cayman Ltd (Digicel)","0.03900"
"Central African Republic","Atlantique Telecom Centrafrique SA (ETISALAT)","0.01400"
"Central African Republic","Orange Centrafrique (Orange)","0.01400"
"Central African Republic","TELECEL CENTRAFRIQUE (TELECEL CENTRAFRIQUE)","0.01400"
"Chad","CelTel Tchad SA (Airtel Chad)","0.02100"
"Chad","MILLICOM TCHAD (Millicom Tchad)","0.02700"
"Chile","Claro Chile S.A. (Claro)","0.05100"
"Chile","ENTEL PCS Telecomunicaciones S.A. (ENTEL PCS)","0.03200"
"Chile","ENTEL TELEFONIA MOVIL (ENTEL TELEFONIA MOVIL)","0.05300"
"Chile","Nextel (Nextel)","0.05100"
"Chile","Telefonica Movil de Chile (TELEFONICA)","0.06300"
"Chile","VTR MOVIL S.A. (VTR)","0.03800"
"China","China Mobile (CHINA MOBILE)","0.02800"
"China","China Telecommunications Corporation (China Telecom CDMA)","0.02800"
"China","China Unicom (CHINA UNICOM GSM)","0.02800"
"Colombia","Avantel (Avantel)","0.01200"
"Colombia","Colombia Movil SA (Tigo)","0.01200"
"Colombia","Communication Celular SA Comcel SA (Claro)","0.01200"
"Colombia","Telefonica Moviles Colombia S.A. (movistar)","0.01200"
"Comoros","Societe Nationale des Telecommunications (Comores Telecom) (HURI)","0.01500"
"Congo","CelTel Congo SA (Airtel)","0.02200"
"Congo","MTN Congo S.A (Libertis Telecom)","0.04500"
"Congo (Dem. Rep.)","Celtel Congo (CelTel Congo SA)","0.01400"
"Congo (Dem. Rep.)","Congo Chine Telecom (Congo Chine Telecom)","0.04300"
"Congo (Dem. Rep.)","TIGO (Tigo)","0.04300"
"Congo (Dem. Rep.)","Vodacom Congo (RDC) sprl (VODACOM CONGO)","0.03100"
"Cook Islands","Telecom Cook Islands (Telecom Cook Islands)","0.01400"
"Costa Rica","Claro CR Telecomunicaciones, S.A. (Claro CR)","0.01400"
"Costa Rica","I.C.E. (Instituto Costarricense de Electricidad) (I.C.E.)","0.02100"
"Costa Rica","Telefónica de Costa Rica TC, S.A.  (Movistar)","0.02600"
"Croatia","Croatian Telecom Inc (T-Mobile HR)","0.05600"
"Croatia","Tele2 d.o.o za telekomunikacijske uluge (Tele2)","0.03500"
"Croatia","VIPnet d.o.o. (VIP-NET)","0.05600"
"Cuba","Empresa de Telecommunicaciones de Cuba, SA (ETECSA)","0.08700"
"Cyprus","Cyprus Telecommunications Auth (Cytamobile-Vodafone)","0.05900"
"Cyprus","MTN Cyprus Limited  (MTN)","0.05900"
